BARCAŚ	(.|#|)bartsaS(.|#|)
WUŹĚSECYMI	(.|#|)wuZjisEts1mi(.|#|)
WUŹĚSENJE	(.|#|)wuZjisEn(j|)E(.|#|)
WUŹĚSMEJ	(.|#|)wuZjismej(.|#|)
WUŹĚSONOSĆ	(.|#|)wuZjisOnOstS(.|#|)
WUŹĚSONOSĆ	(.|#|)wuZjisOnOStS(.|#|)
WUŹĚSOWANJE	(.|#|)wuZjisOwan(j|)E(.|#|)
WUŹĚSOWANJE	(.|#|)wuZjisowan(j|)E(.|#|)
WUŹĚSOWAŁO	(.|#|)wuZjisOwawO(.|#|)
WUŹĚSOWAŁO	(.|#|)wuZjisowawO(.|#|)
WUŹĚSOWAŚ	(.|#|)wuZjisOwaS(.|#|)
WUŹĚSOWAŚ	(.|#|)wuZjisowaS(.|#|)
WUŹĚŁANJE	(.|#|)wuZjiwan(j|)E(.|#|)
WUŹĚŁAŚ	(.|#|)wuZjiwaS(.|#|)
WUŹĚŁAŠĆO	(.|#|)wuZjiwaStSO(.|#|)
WUŹĚŁCE	(.|#|)wuZjiwtsE(.|#|)
WUŹĚŁO	(.|#|)wuZjiwO(.|#|)
WUŹĚŁOWAŚ	(.|#|)wuZjiwOwaS(.|#|)
WUŹĚŁOWAŚ	(.|#|)wuZjiwowaS(.|#|)
WUŹĚŚENI	(.|#|)wuZjiSEni(.|#|)
WUŽ	(.|#|)wuS(.|#|)
WUŽADŁAWJONEJU	(.|#|)wuZadwaujOneju(.|#|)
WUŽAGLIŚ	(.|#|)wuZagliS(.|#|)
WUŽAGLONEJ	(.|#|)wuZaglOnej(.|#|)
WUŽAŁBUJU	(.|#|)wuZawbuju(.|#|)
WUŽAŁOSĆIŚ	(.|#|)wuZawOstSiS(.|#|)
WUŽAŁOSĆIŚ	(.|#|)wuZawOStSiS(.|#|)
WUŽAŔ	(.|#|)wuZar(.|#|)
WUŽBÓŽOWARKAMI	(.|#|)wuZbUZOwarkami(.|#|)
WUŽBÓŽOWARKAMI	(.|#|)wuZbUZowarkami(.|#|)
WUŽEBRIŚ	(.|#|)wuZEbriS(.|#|)
WUŽEBRJONEJ	(.|#|)wuZEbrjOnej(.|#|)
WUŽEJOM	(.|#|)wuZejOm(.|#|)
WUŽERU	(.|#|)wuZEru(.|#|)
WUŽET	(.|#|)wuZEt(.|#|)
WUŽETYMI	(.|#|)wuZEt1mi(.|#|)
WUŽEŁO	(.|#|)wuZEwO(.|#|)
WUŽEŃ	(.|#|)wuZEjn(.|#|)
WUŽEŃ	(.|#|)wuZen(.|#|)
WUŽEŃC	(.|#|)wuZEjnts(.|#|)
WUŽEŃC	(.|#|)wuZejnts(.|#|)
WUŽEŔŚO	(.|#|)wuZErSO(.|#|)
WUŽEŚE	(.|#|)wuZESE(.|#|)
WUŽEŚOWU	(.|#|)wuZESOwu(.|#|)
WUŽEŚOWU	(.|#|)wuZESowu(.|#|)
WUŽEŚU	(.|#|)wuZESu(.|#|)
WUŽEŠTEJ	(.|#|)wuZEStej(.|#|)
WUŽMJETOSĆ	(.|#|)wuZmjEtOstS(.|#|)
WUŽMJETOSĆ	(.|#|)wuZmjEtOStS(.|#|)
WUŽMJETOSĆI	(.|#|)wuZmjEtOstSi(.|#|)
WUŽMJETOSĆI	(.|#|)wuZmjEtOStSi(.|#|)
WUŽOGNUJŚO	(.|#|)wuZOgnujSO(.|#|)
WUŽOJU	(.|#|)wuZOju(.|#|)
WUŽRAT	(.|#|)wuZrat(.|#|)
WUŽRAWAKOMA	(.|#|)wuZrawakOma(.|#|)
WUŽRAWAKOMA	(.|#|)wuZrawakUma(.|#|)
WUŽRAWAŃSKOSĆ	(.|#|)wuZrawajnskOstS(.|#|)
WUŽRAWAŃSKOSĆ	(.|#|)wuZrawajnskOStS(.|#|)
WUŽRĚBICHU	(.|#|)wuZrjibixu(.|#|)
WUŽRĚBICHU	(.|#|)wuZrjibiCu(.|#|)
WUŽRĚBIŁ	(.|#|)wuZrjibiu(.|#|)
WUŽRĚBYJOŠ	(.|#|)wuZrjib1jOS(.|#|)
WUŽRĚDLONEMU	(.|#|)wuZrjidlOnEmu(.|#|)
WUŽRĚŁEJ	(.|#|)wuZrjiwej(.|#|)
WUŽUCHMEJ	(.|#|)wuZuxmej(.|#|)
WUŽULI	(.|#|)wuZuli(.|#|)
WUŽUMAŠTEJ	(.|#|)wuZumaStej(.|#|)
WUŽUMLENJOW	(.|#|)wuZumlEnjO(.|#|)
WUŽUMLENJOW	(.|#|)wuZumlEnjo(.|#|)
WUŽUTYMA	(.|#|)wuZut1ma(.|#|)
WUŽUŁEJ	(.|#|)wuZuwej(.|#|)
WUŽUŚACH	(.|#|)wuZuSax(.|#|)
WUŽUŚOW	(.|#|)wuZuSO(.|#|)
WUŽUŚOW	(.|#|)wuZuSo(.|#|)
WUŽUŚU	(.|#|)wuZuSu(.|#|)
WUŽUŠĆO	(.|#|)wuZuStSO(.|#|)
WUŽWANKLICH	(.|#|)wuZwanklix(.|#|)
WUŽWANKLICH	(.|#|)wuZwankliC(.|#|)
WUŽWATORJONYM	(.|#|)wuZwatOrjOn1m(.|#|)
WUŽWAŚ	(.|#|)wuZwaS(.|#|)
WUŽYSCE	(.|#|)wuZ1stsE(.|#|)
WUŽYTEM	(.|#|)wuZ1tEm(.|#|)
WUŽYTK	(.|#|)wuZ1tk(.|#|)
WUŽYTKOWANA	(.|#|)wuZ1tkOwana(.|#|)
WUŽYTKOWANA	(.|#|)wuZ1tkowana(.|#|)
WUŽYTKOWANJE	(.|#|)wuZ1tkOwan(j|)E(.|#|)
WUŽYTKOWANJE	(.|#|)wuZ1tkowan(j|)E(.|#|)
WUŽYTKOWARKA	(.|#|)wuZ1tkOwarka(.|#|)
WUŽYTKOWARKA	(.|#|)wuZ1tkowarka(.|#|)
WUŽYTKOWAŚ	(.|#|)wuZ1tkOwaS(.|#|)
WUŽYTKOWAŚ	(.|#|)wuZ1tkowaS(.|#|)
WUŽYTNJE	(.|#|)wuZ1tn(j|)E(.|#|)
WUŽYTNOSĆ	(.|#|)wuZ1tnOstS(.|#|)
WUŽYTNOSĆ	(.|#|)wuZ1tnOStS(.|#|)
WUŽYTNY	(.|#|)wuZ1tn1(.|#|)
WUŽYTY	(.|#|)wuZ1t1(.|#|)
WUŽYWABNEJU	(.|#|)wuZ1wabneju(.|#|)
WUŽYWABNY	(.|#|)wuZ1wabn1(.|#|)
WUŽYWANJE	(.|#|)wuZ1wan(j|)E(.|#|)
WUŽYWANY	(.|#|)wuZ1wan1(.|#|)
WUŽYWARKA	(.|#|)wuZ1warka(.|#|)
WUŽYWAŔ	(.|#|)wuZ1war(.|#|)
WUŽYWAŚ	(.|#|)wuZ1waS(.|#|)
WUŽYWIŁEJ	(.|#|)wuZ1wiwej(.|#|)
WUŽYWIŠĆO	(.|#|)wuZ1wiStSO(.|#|)
WUŽYWJENJE	(.|#|)wuZ1u(j|)En(j|)E(.|#|)
WUŽYWŚO	(.|#|)wuZ1uSO(.|#|)
WUŽYŚ	(.|#|)wuZ1S(.|#|)
WUŽŁOB	(.|#|)wuZwOp(.|#|)
WUŽŁOBINA	(.|#|)wuZwObina(.|#|)
WUŽŁOBIŚ	(.|#|)wuZwObiS(.|#|)
WUŽŁOBJANJE	(.|#|)wuZwObjan(j|)E(.|#|)
WUŽŁOBJAŁO	(.|#|)wuZwObjawO(.|#|)
WUŽŁOBJAŚ	(.|#|)wuZwObjaS(.|#|)
WUŽŁOBJUJUCA	(.|#|)wuZwObjujutsa(.|#|)
WUŽŁOBTEJ	(.|#|)wuZwObtej(.|#|)
WY	(.|#|)w1(.|#|)
WYKANYCH	(.|#|)w1kan1x(.|#|)
WYKAŚ	(.|#|)w1kaS(.|#|)
WYLAMY	(.|#|)w1lam1(.|#|)
WYLAMY	(.|#|)w1lamU(.|#|)
WYLEMAM	(.|#|)w1lEmam(.|#|)
WYLEMOJSKEM	(.|#|)w1lEmOjskEm(.|#|)
WYLEMOJSKEM	(.|#|)w1lEmUjskEm(.|#|)
WYLIJOMA	(.|#|)w1lijOma(.|#|)
WYMÓŽNIKOJSKEM	(.|#|)w1mUZnikOjskEm(.|#|)
WYRC	(.|#|)w1rts(.|#|)
WYRCTEJ	(.|#|)w1rtstej(.|#|)
WYRCĆO	(.|#|)w1rtstSO(.|#|)
WYRGLALI	(.|#|)w1rglali(.|#|)
WYRGLAŁA	(.|#|)w1rglawa(.|#|)
WYRGLAŚ	(.|#|)w1rglaS(.|#|)
WYRGLIŁO	(.|#|)w1rgliwO(.|#|)
WYRKAJUCU	(.|#|)w1rkajutsu(.|#|)
WYRKANJE	(.|#|)w1rkan(j|)E(.|#|)
WYRKAŚ	(.|#|)w1rkaS(.|#|)
WYRKOTAŚ	(.|#|)w1rkOtaS(.|#|)
WYRLIK	(.|#|)w1rlik(.|#|)
WYRLITEJ	(.|#|)w1rlitej(.|#|)
WYTPARSKICH	(.|#|)w1tparskix(.|#|)
WYTPARSKICH	(.|#|)w1tparskiC(.|#|)
WYŠCE	(.|#|)w1StsE(.|#|)
WYŠK	(.|#|)w1Sk(.|#|)
WYŠKI	(.|#|)w1Ski(.|#|)
WYŽNJONEMU	(.|#|)w1ZnjOnEmu(.|#|)
WZDA	(.|#|)zda(.|#|)
WZDACH	(.|#|)zdax(.|#|)
WZDAJ	(.|#|)zdaj(.|#|)
WZDANYM	(.|#|)zdan1m(.|#|)
WZDAT	(.|#|)zdat(.|#|)
WZDAŁ	(.|#|)zdau(.|#|)
WZDAŚ	(.|#|)zdaS(.|#|)
WZE	(.|#|)zE(.|#|)
WZECH	(.|#|)zEx(.|#|)
WZECH	(.|#|)zEC(.|#|)
WZEJ	(.|#|)zej(.|#|)
WZEJO	(.|#|)zejO(.|#|)
WZELI	(.|#|)zEli(.|#|)
WZET	(.|#|)zEt(.|#|)
WZETEGO	(.|#|)zEtEgO(.|#|)
WZETYCH	(.|#|)zEt1x(.|#|)
WZEŁ	(.|#|)zEw(.|#|)
WZEŁA	(.|#|)zEwa(.|#|)
WZEŚ	(.|#|)zES(.|#|)
WÓ	(.|#|)wU(.|#|)
WÓBĚLIŚ	(.|#|)wUbjiliS(.|#|)
WÓC	(.|#|)wUts(.|#|)
WÓCAKANY	(.|#|)wUtsakan1(.|#|)
WÓCAKOWANJE	(.|#|)wUtsakOwan(j|)E(.|#|)
WÓCAKOWANJE	(.|#|)wUtsakowan(j|)E(.|#|)
WÓCAKOWANJOW	(.|#|)wUtsakOwanjO(.|#|)
WÓCAKOWANJOW	(.|#|)wUtsakowanjo(.|#|)
WÓCAKOWAŚ	(.|#|)wUtsakOwaS(.|#|)
WÓCAKOWAŚ	(.|#|)wUtsakowaS(.|#|)
WÓCAKUJUCA	(.|#|)wUtsakujutsa(.|#|)
WÓCARNJENJU	(.|#|)wUtsarn(j|)Enju(.|#|)
WÓCAS	(.|#|)wUtsas(.|#|)
WÓCEPKAMI	(.|#|)wUtsEpkami(.|#|)
WÓCERWJENIŚ	(.|#|)wUtsErw(j|)EniS(.|#|)
WÓCERWJENJENIM	(.|#|)wUtsErw(j|)En(j|)Enim(.|#|)
WÓCESANI	(.|#|)wUtsEsani(.|#|)
WÓCESLIŚ	(.|#|)wUtsEsliS(.|#|)
WÓCKA	(.|#|)wUtska(.|#|)
WÓCKI	(.|#|)wUtski(.|#|)
WÓCKO	(.|#|)wUtskO(.|#|)
WÓCKOWAŚ	(.|#|)wUtskOwaS(.|#|)
WÓCKOWAŚ	(.|#|)wUtskowaS(.|#|)
WÓCKUJUCYMI	(.|#|)wUtskujuts1mi(.|#|)
WÓCL	(.|#|)wUtsl(.|#|)
WÓCLANE	(.|#|)wUtslanE(.|#|)
WÓCLE	(.|#|)wUtslE(.|#|)
WÓCLOWU	(.|#|)wUtslOwu(.|#|)
WÓCLOWU	(.|#|)wUtslowu(.|#|)
WÓCLU	(.|#|)wUtslu(.|#|)
WÓCUZBNIŚ	(.|#|)wUtsuzbniS(.|#|)
WÓCUZBNJENJE	(.|#|)wUtsuzbn(j|)En(j|)E(.|#|)
WÓCUZBNJONY	(.|#|)wUtsuzbnjOn1(.|#|)
WÓCUZBNJOWAŚ	(.|#|)wUtsuzbnjOwaS(.|#|)
WÓCUZBNJOWAŚ	(.|#|)wUtsuzbnjowaS(.|#|)
WÓCUŚETOSĆ	(.|#|)wUtsuSEtOstS(.|#|)
WÓCUŚETOSĆ	(.|#|)wUtsuSEtOStS(.|#|)
WÓCUŚETOSĆOWU	(.|#|)wUtsuSEtOstSOwu(.|#|)
WÓCUŚETOSĆOWU	(.|#|)wUtsuSEtOStSowu(.|#|)
WÓCUŚETY	(.|#|)wUtsuSEt1(.|#|)
WÓCUŚEŁ	(.|#|)wUtsuSEw(.|#|)
WÓCUŚEŚ	(.|#|)wUtsuSES(.|#|)
WÓCUŚEŠĆO	(.|#|)wUtsuSEStSO(.|#|)
WÓCUŚONY	(.|#|)wUtsuSOn1(.|#|)
WÓCUŚOWANYMI	(.|#|)wUtsuSOwan1mi(.|#|)
WÓCUŚOWANYMI	(.|#|)wUtsuSowan1mi(.|#|)
WÓCUŚOWAŚ	(.|#|)wUtsuSOwaS(.|#|)
WÓCUŚOWAŚ	(.|#|)wUtsuSowaS(.|#|)
WÓCUŚUJOM	(.|#|)wUtsuSujOm(.|#|)
WÓCY	(.|#|)wUts1(.|#|)
WÓCYNICHMY	(.|#|)wUts1nixm1(.|#|)
WÓCYNICHMY	(.|#|)wUts1niCmU(.|#|)
WÓCYNIŚ	(.|#|)wUts1niS(.|#|)
WÓCYNJAK	(.|#|)wUts1njak(.|#|)
WÓCYNJAŚ	(.|#|)wUts1njaS(.|#|)
WÓCYNJONY	(.|#|)wUts1njOn1(.|#|)
WÓCYSĆENJE	(.|#|)wUts1stSEn(j|)E(.|#|)
WÓCYSĆIŚ	(.|#|)wUts1stSiS(.|#|)
WÓCYSĆONEMU	(.|#|)wUts1stSOnEmu(.|#|)
WÓCYSĆĆO	(.|#|)wUts1stSO(.|#|)
WÓCYWIDNOSĆ	(.|#|)wUts1widnOstS(.|#|)
WÓCYWIDNOSĆ	(.|#|)wUts1widnOStS(.|#|)
WÓD	(.|#|)wUt(.|#|)
WÓDA	(.|#|)wUda(.|#|)
WÓDANK	(.|#|)wUdank(.|#|)
WÓDARNJA	(.|#|)wUdarnja(.|#|)
WÓDAWANJE	(.|#|)wUdawan(j|)E(.|#|)
WÓDAWAŁO	(.|#|)wUdawawO(.|#|)
WÓDAWAŔ	(.|#|)wUdawar(.|#|)
WÓDAWAŚ	(.|#|)wUdawaS(.|#|)
WÓDAŁA	(.|#|)wUdawa(.|#|)
WÓDAŚ	(.|#|)wUdaS(.|#|)
WÓDAŚE	(.|#|)wUdaSE(.|#|)
WÓDCE	(.|#|)wUdtsE(.|#|)
WÓDKACH	(.|#|)wUtkax(.|#|)
WÓDLEJ	(.|#|)wUdlej(.|#|)
WÓDNICA	(.|#|)wUdnitsa(.|#|)
WÓDNICU	(.|#|)wUdnitsu(.|#|)
WÓDNITY	(.|#|)wUdnit1(.|#|)
WÓDNJATY	(.|#|)wUdnjat1(.|#|)
WÓDNJEŚ	(.|#|)wUdn(j|)ES(.|#|)
WÓDNJO	(.|#|)wUdnjO(.|#|)
WÓDOBALA	(.|#|)wUdObala(.|#|)
WÓDOBALO	(.|#|)wUdObalO(.|#|)
WÓDOGÓSPODARSTWO	(.|#|)wUdOgUspOdarstwO(.|#|)
WÓDOGÓSPODARSTWOW	(.|#|)wUdOgUspOdarstwO(.|#|)
WÓDOGÓSPODARSTWOW	(.|#|)wUdOgUspOdarstwo(.|#|)
WÓDOGÓSPODAŔSTWOW	(.|#|)wUdOgUspOdarstwO(.|#|)
WÓDOGÓSPODAŔSTWOW	(.|#|)wUdOgUspOdarstwo(.|#|)
WÓDOMĚRA	(.|#|)wUdOmjira(.|#|)
WÓDOPAD	(.|#|)wUdOpat(.|#|)
WÓDOPAŹE	(.|#|)wUdOpaZE(.|#|)
WÓDOROWNEJE	(.|#|)wUdOrOunejE(.|#|)
WÓDOROWNEJE	(.|#|)wUdOrounejE(.|#|)
WÓDOROWNY	(.|#|)wUdOrOun1(.|#|)
WÓDOROWNY	(.|#|)wUdOroun1(.|#|)
WÓDOSKOK	(.|#|)wUdOskOk(.|#|)
WÓDOSKOKI	(.|#|)wUdOskOki(.|#|)
WÓDOSŁONAMI	(.|#|)wUdOswOnami(.|#|)
WÓDOWATOSĆ	(.|#|)wUdOwatOstS(.|#|)
WÓDOWATOSĆ	(.|#|)wUdowatOStS(.|#|)
WÓDOWATY	(.|#|)wUdOwat1(.|#|)
WÓDOWATY	(.|#|)wUdowat1(.|#|)
WÓDOWÓD	(.|#|)wUdOwUt(.|#|)
WÓDOWÓD	(.|#|)wUdowUt(.|#|)
WÓDOWÓDAM	(.|#|)wUdOwUdam(.|#|)
WÓDOWÓDAM	(.|#|)wUdowUdam(.|#|)
WÓDRIŃSKEJE	(.|#|)wUdrinskejE(.|#|)
WÓDRĚMNIMY	(.|#|)wUdrjimnim1(.|#|)
WÓDRĚMNIMY	(.|#|)wUdrjimnimU(.|#|)
WÓDRĚMNJENJE	(.|#|)wUdrjimn(j|)En(j|)E(.|#|)
WÓDRĚWAŚ	(.|#|)wUdrjiwaS(.|#|)
WÓDRĚŚ	(.|#|)wUdrjiS(.|#|)
WÓDUCHYTAK	(.|#|)wUdux1tak(.|#|)
WÓDUCHYTAKI	(.|#|)wUdux1taki(.|#|)
WÓDULICAKAM	(.|#|)wUdulitsakam(.|#|)
WÓDUMILINARNJOW	(.|#|)wUdumilinarnjO(.|#|)
WÓDUMILINARNJOW	(.|#|)wUdumilinarnjo(.|#|)
WÓDUMILINAŔNJOW	(.|#|)wUdumilinarnjO(.|#|)
WÓDUMILINAŔNJOW	(.|#|)wUdumilinarnjo(.|#|)
WÓDUMUŚENJAMI	(.|#|)wUdumuSEnjami(.|#|)
WÓDUMUŚENJE	(.|#|)wUdumuSEn(j|)E(.|#|)
WÓDUPIŚ	(.|#|)wUdupiS(.|#|)
WÓDUPJONU	(.|#|)wUdupjOnu(.|#|)
WÓDUPŚO	(.|#|)wUdupSO(.|#|)
WÓDUWAŚ	(.|#|)wUduwaS(.|#|)
WÓDUWÓTPUŠĆEŃSKEGO	(.|#|)wUduwUtpuStSEjnskEgO(.|#|)
WÓDUWÓTPUŠĆEŃSKEGO	(.|#|)wUduwUtpuStSejnskEgO(.|#|)
WÓDUŁA	(.|#|)wUduwa(.|#|)
WÓDYCH	(.|#|)wUd1x(.|#|)
WÓDYCHANIŠĆO	(.|#|)wUd1xaniStSO(.|#|)
WÓDYCHANJE	(.|#|)wUd1xan(j|)E(.|#|)
WÓDYCHARNJA	(.|#|)wUd1xarnja(.|#|)
WÓDYCHAŃSKI	(.|#|)wUd1xajnski(.|#|)
WÓDYCHAŚ	(.|#|)wUd1xaS(.|#|)
WÓDYCHNJENJE	(.|#|)wUd1xn(j|)En(j|)E(.|#|)
WÓDYCHNUŁEJ	(.|#|)wUd1xnuwej(.|#|)
WÓDYCHNUŚ	(.|#|)wUd1xnuS(.|#|)
WÓDYCHOWANJE	(.|#|)wUd1xOwan(j|)E(.|#|)
WÓDYCHOWANJE	(.|#|)wUd1xowan(j|)E(.|#|)
WÓDYCHOWAŚ	(.|#|)wUd1xOwaS(.|#|)
WÓDYCHOWAŚ	(.|#|)wUd1xowaS(.|#|)
WÓDYNJASARJOJU	(.|#|)wUd1njasarjOju(.|#|)
WÓDYŠE	(.|#|)wUd1SE(.|#|)
WÓDŁYPUJUCE	(.|#|)wUdw1pujutsE(.|#|)
WÓJACKA	(.|#|)wUjatska(.|#|)
WÓJAGNIŠTEJ	(.|#|)wUjagniStej(.|#|)
WÓJAK	(.|#|)wUjak(.|#|)
WÓJAKOWANJA	(.|#|)wUjakOwanja(.|#|)
WÓJAKOWANJA	(.|#|)wUjakowanja(.|#|)
WÓJAKOWANJE	(.|#|)wUjakOwan(j|)E(.|#|)
WÓJAKOWANJE	(.|#|)wUjakowan(j|)E(.|#|)
WÓJANJE	(.|#|)wUjan(j|)E(.|#|)
WÓJARJU	(.|#|)wUjarju(.|#|)
WÓJARSKOPOLITISKI	(.|#|)wUjarskOpOlitiski(.|#|)
WÓJARSKOTECHNISKI	(.|#|)wUjarskOtExniski(.|#|)
WÓJARSKOTECHNISKI	(.|#|)wUjarskOtECniski(.|#|)
WÓJAŔ	(.|#|)wUjar(.|#|)
WÓJCARNJA	(.|#|)wUjtsarnja(.|#|)
WÓJCARSTWOM	(.|#|)wUjtsarstwOm(.|#|)
WÓJCAŔ	(.|#|)wUjtsar(.|#|)
WÓJCAŔSTWOM	(.|#|)wUjtsarstwOm(.|#|)
WÓJCECEJ	(.|#|)wUjtsEtsej(.|#|)
WÓJCESTŚIGARJA	(.|#|)wUjtsEstSigarja(.|#|)
WÓJCEŃCACH	(.|#|)wUjtsEjntsax(.|#|)
WÓJCEŃCACH	(.|#|)wUjtsejntsax(.|#|)
WÓJCKA	(.|#|)wUjtska(.|#|)
WÓJCKOW	(.|#|)wUjtskO(.|#|)
WÓJCKOW	(.|#|)wUjtsko(.|#|)
WÓJCNEM	(.|#|)wUjtsnEm(.|#|)
WÓJDU	(.|#|)wUjdu(.|#|)
WÓJEBACHMY	(.|#|)wUjEbaxm1(.|#|)
WÓJEBACHMY	(.|#|)wUjEbaxmU(.|#|)
WÓJISKOMA	(.|#|)wUjiskOma(.|#|)
WÓJISKOMA	(.|#|)wUjiskUma(.|#|)
WÓJK	(.|#|)wUjk(.|#|)
WÓJNA	(.|#|)wUjna(.|#|)
WÓJNARJACH	(.|#|)wUjnarjax(.|#|)
WÓJNAŔ	(.|#|)wUjnar(.|#|)
WÓJNCARJOWU	(.|#|)wUjntsarjOwu(.|#|)
WÓJNCARJOWU	(.|#|)wUjntsarjowu(.|#|)
WÓJNCE	(.|#|)wUjntsE(.|#|)
WÓJNK	(.|#|)wUjnk(.|#|)
WÓJNKOW	(.|#|)wUjnkO(.|#|)
WÓJNKOW	(.|#|)wUjnko(.|#|)
WÓJNSKE	(.|#|)wUjnskE(.|#|)
WÓJNSKIM	(.|#|)wUjnskim(.|#|)
WÓJNSTWO	(.|#|)wUjnstwO(.|#|)
WÓJNUPŚIPOWĚŹENIM	(.|#|)wUjnupSipOujiZEnim(.|#|)
WÓJNUPŚIPOWĚŹENIM	(.|#|)wUjnupSipoujiZEnim(.|#|)
WÓJOWANIŠĆO	(.|#|)wUjOwaniStSO(.|#|)
WÓJOWANIŠĆO	(.|#|)wUjowaniStSO(.|#|)
WÓJOWANJA	(.|#|)wUjOwanja(.|#|)
WÓJOWANJA	(.|#|)wUjowanja(.|#|)
WÓJOWANJE	(.|#|)wUjOwan(j|)E(.|#|)
WÓJOWANJE	(.|#|)wUjowan(j|)E(.|#|)
WÓJOWARKA	(.|#|)wUjOwarka(.|#|)
WÓJOWARKA	(.|#|)wUjowarka(.|#|)
WÓJOWARSKI	(.|#|)wUjOwarski(.|#|)
WÓJOWARSKI	(.|#|)wUjowarski(.|#|)
WÓJOWARSKOSĆ	(.|#|)wUjOwarskOstS(.|#|)
WÓJOWARSKOSĆ	(.|#|)wUjowarskOStS(.|#|)
WÓJOWAŃKO	(.|#|)wUjOwajnkO(.|#|)
WÓJOWAŃKO	(.|#|)wUjowajnkO(.|#|)
WÓJOWAŔ	(.|#|)wUjOwar(.|#|)
WÓJOWAŔ	(.|#|)wUjowar(.|#|)
WÓJOWAŚ	(.|#|)wUjOwaS(.|#|)
WÓJOWAŚ	(.|#|)wUjowaS(.|#|)
WÓJSCE	(.|#|)wUjstsE(.|#|)
WÓJSKA	(.|#|)wUjska(.|#|)
WÓJSKO	(.|#|)wUjskO(.|#|)
WÓJT	(.|#|)wUjt(.|#|)
WÓJTCE	(.|#|)wUjttsE(.|#|)
WÓJTICE	(.|#|)wUjtitsE(.|#|)
WÓJTIKAM	(.|#|)wUjtikam(.|#|)
WÓJTKAMI	(.|#|)wUjtkami(.|#|)
WÓJTKU	(.|#|)wUjtku(.|#|)
WÓJWAŃSKEM	(.|#|)wUjwajnskEm(.|#|)
WÓJWODA	(.|#|)wUjwOda(.|#|)
WÓJWODACH	(.|#|)wUjwOdax(.|#|)
WÓJWODCE	(.|#|)wUjwOdtsE(.|#|)
WÓJWODOWKA	(.|#|)wUjwOdOuka(.|#|)
WÓJWODOWKA	(.|#|)wUjwOdouka(.|#|)
WÓJWODSKI	(.|#|)wUjwOtski(.|#|)
WÓJWODSTWO	(.|#|)wUjwOtstwO(.|#|)
WÓJWODSTWOW	(.|#|)wUjwOtstwO(.|#|)
WÓJWODSTWOW	(.|#|)wUjwOtstwo(.|#|)
WÓJWODY	(.|#|)wUjwOd1(.|#|)
WÓJWOŹE	(.|#|)wUjwOZE(.|#|)
WÓJĚMEJ	(.|#|)wUjjimej(.|#|)
WÓJĚZDNY	(.|#|)wUjjizdn1(.|#|)
WÓJĚZĆO	(.|#|)wUjjiztSO(.|#|)
WÓJĚŁ	(.|#|)wUjji(.|#|)
WÓJĚŚ	(.|#|)wUjjiS(.|#|)
WÓJĚŠTEJ	(.|#|)wUjjiStej(.|#|)
WÓJĚŠĆO	(.|#|)wUjjiStSO(.|#|)
WÓJŚ	(.|#|)wUjS(.|#|)
WÓJŚCE	(.|#|)wUjStsE(.|#|)
WÓJŚECHA	(.|#|)wUjSExa(.|#|)
WÓJŚECHA	(.|#|)wUjSECa(.|#|)
WÓJŚEŠE	(.|#|)wUjSESE(.|#|)
WÓJŚIKAMI	(.|#|)wUjSikami(.|#|)
WÓJŚKACH	(.|#|)wUjSkax(.|#|)
WÓJŚKI	(.|#|)wUjSki(.|#|)
WÓJŚKOJU	(.|#|)wUjSkOju(.|#|)
WÓJŚKU	(.|#|)wUjSku(.|#|)
WÓJŚOJU	(.|#|)wUjSOju(.|#|)
WÓJŠEŁ	(.|#|)wUjSEw(.|#|)
WÓJŹ	(.|#|)wUjZ(.|#|)
WÓL	(.|#|)wUl(.|#|)
WÓLALI	(.|#|)wUlali(.|#|)
WÓLAPJOMEJ	(.|#|)wUlapjOmej(.|#|)
WÓLARJOW	(.|#|)wUlarjO(.|#|)
WÓLARJOW	(.|#|)wUlarjo(.|#|)
WÓLARKA	(.|#|)wUlarka(.|#|)
WÓLARSTWO	(.|#|)wUlarstwO(.|#|)
WÓLAWOW	(.|#|)wUlawO(.|#|)
WÓLAWOW	(.|#|)wUlawo(.|#|)
WÓLAŔ	(.|#|)wUlar(.|#|)
WÓLAŽCECA	(.|#|)wUlaZtsEtsa(.|#|)
WÓLAŽCENJA	(.|#|)wUlaZtsEnja(.|#|)
WÓLAŽCENJE	(.|#|)wUlaZtsEn(j|)E(.|#|)
WÓLAŽCOWAŚ	(.|#|)wUlaZtsOwaS(.|#|)
WÓLAŽCOWAŚ	(.|#|)wUlaZtsowaS(.|#|)
WÓLAŽCUJUCYMI	(.|#|)wUlaZtsujuts1mi(.|#|)
WÓLAŽCYCH	(.|#|)wUlaZts1x(.|#|)
WÓLAŽCYŚ	(.|#|)wUlaZts1S(.|#|)
WÓLAŽCYŠĆO	(.|#|)wUlaZts1StSO(.|#|)
WÓLAŽCĆO	(.|#|)wUlaZtstSO(.|#|)
WÓLBA	(.|#|)wUlba(.|#|)
WÓLBNOOBLIGATORISKA	(.|#|)wUlbnObligatOriska(.|#|)
WÓLBORU	(.|#|)wUlbOru(.|#|)
WÓLCE	(.|#|)wUltsE(.|#|)
WÓLEJ	(.|#|)wUlej(.|#|)
WÓLEJKARJACH	(.|#|)wUlejkarjax(.|#|)
WÓLEJNIK	(.|#|)wUlejnik(.|#|)
WÓLEJOWATY	(.|#|)wUlejOwat1(.|#|)
WÓLEJOWATY	(.|#|)wUlejowat1(.|#|)
